village,year,month,depth_meters
Amner,2024,1,15.5
Benoda,2024,1,5.2
Chandas,2024,1,10.4
Dhanodi,2024,1,7.4
Gadegaon,2024,1,18.0
Jamgaon,2024,1,4.4
Karajgaon,2024,1,4.0
Loni,2024,1,11.5
Temburkheda,2024,1,5.3
Umarkhed,2024,1,8.9
Warud,2024,1,3.9
Ambajogai,2024,1,9.1
Dharmapuri,2024,1,8.4
Kanerwadi,2024,1,5.1
Lokhandi Sawargaon,2024,1,5.3
Parli,2024,1,4.3
Saigaon,2024,1,6.0
Soundad,2024,1,9.5
Talni,2024,1,5.4
Waguli,2024,1,14.3
Warvati,2024,1,16.9
Ashti,2024,1,8.4
Dhanora,2024,1,4.9
Doithana,2024,1,2.6
Kasari,2024,1,8.4
Khadkhat,2024,1,5.2
Kinhi,2024,1,2.9
Pandhari,2024,1,6.1
Sheri Bu,2024,1,3.8
Waghluj,2024,1,5.2
Aher Wadgaon,2024,1,5.2
Bavi,2024,1,4.4
Chousala,2024,1,9.4
Chousala,2024,1,11.0
Ghosapuri,2024,1,12.9
Jirewadi,2024,1,10.1
Mauj,2024,1,4.1
Pali,2024,1,3.3
Pimpalner,2024,1,15.3
Bhend Takli,2024,1,7.1
Dhondrai,2024,1,5.5
Georai,2024,1,5.4
Hirapur,2024,1,11.8
Kapildhar,2024,1,4.5
Khandvi,2024,1,8.0
Kolegaon,2024,1,9.2
Kumbharwadi,2024,1,16.8
Nagjhera,2024,1,8.9
Sawargaon,2024,1,12.5
Shirsadevi,2024,1,13.1
Tintarvani,2024,1,4.7
Umapur,2024,1,10.2
Dharur,2024,1,9.5
Kalegaon,2024,1,7.1
Kumbhephal,2024,1,7.4
Nandur Phata,2024,1,2.4
Uttareshwar Pimpri,2024,1,7.9
Wadwani,2024,1,2.8
Dindrur,2024,1,17.6
Gaundara,2024,1,4.9
Ghatsawali,2024,1,4.6
Limgaon,2024,1,4.4
Patrud,2024,1,9.9
Sirsala,2024,1,6.7
Telgaon,2024,1,2.6
Anandgaon,2024,1,1.8
Chumbli,2024,1,4.5
Daskhed,2024,1,12.7
Dongar Kini,2024,1,5.5
Kotan,2024,1,2.2
Manur,2024,1,11.3
Naygaon,2024,1,2.9
Patoda,2024,1,5.1
Pimpalwandi,2024,1,3.2
Pithi,2024,1,4.1
Sautada,2024,1,0.4
Sirur,2024,1,18.0
Ambadi,2024,1,1.6
Bhandara,2024,1,6.0
Daodipar Khapa,2024,1,2.5
Dhargaon,2024,1,3.0
Kharbi,2024,1,4.9
Kharbi,2024,1,4.7
Pagora,2024,1,3.1
Palari,2024,1,3.9
Satona,2024,1,1.3
Shrinagar,2024,1,7.4
Lakhandur,2024,1,3.0
Lakhandur,2024,1,2.3
Madgi,2024,1,2.6
Palandur,2024,1,3.4
Dahegaon,2024,1,3.7
Dahegaon,2024,1,4.7
Jamb,2024,1,4.5
Tumsar Khapa,2024,1,0.4
Usarra,2024,1,3.8
Varti,2024,1,1.7
Warthi,2024,1,4.0
Adyal,2024,1,2.6
Kawalewada,2024,1,3.4
Pauni,2024,1,3.2
Ekodi,2024,1,0.8
Masal,2024,1,2.7
Mundipar Sadak,2024,1,3.0
Murmadi,2024,1,5.2
Sakoli,2024,1,5.0
Sakra,2024,1,6.7
Chicholi,2024,1,2.6
Gobarwahi,2024,1,1.6
Khair Langi,2024,1,2.7
Landejhari,2024,1,4.9
Paunarkhairi,2024,1,1.0
Sihora,2024,1,2.5
Bhadola,2024,1,9.5
Dhad,2024,1,4.2
Dhadop,2024,1,5.9
Hatedi,2024,1,2.6
Padali,2024,1,4.6
Sailani,2024,1,12.2
Amdapur,2024,1,7.4
Bhankheda,2024,1,7.9
Dongar Khandala,2024,1,1.6
Karwand,2024,1,1.9
Kelwad,2024,1,5.8
Palskhed Sapkal,2024,1,10.9
Undri,2024,1,7.2
Deolgaon Mahi,2024,1,3.2
Deolgaon Raja,2024,1,3.0
Mera Khurd,2024,1,7.0
Mera Khurd,2024,1,9.2
Sindkhed Raja,2024,1,3.5
Jalgaonjamodnew,2024,1,20.0
Khandvi,2024,1,7.1
Sajanpuri,2024,1,10.3
Sungaon,2024,1,4.0
Ambe Takli,2024,1,5.2
Atali,2024,1,3.5
Garadgaon,2024,1,1.6
Godhnapur,2024,1,3.8
Khamgaon,2024,1,2.3
Lokhanda,2024,1,3.3
Nandri,2024,1,13.0
Pimpalgaon Raja,2024,1,12.9
Rohna,2024,1,4.3
Anjani Khurd,2024,1,2.0
Borakhedi Barwa,2024,1,4.4
Chorpangra,2024,1,5.8
Lonar,2024,1,5.0
Shara Davhale,2024,1,6.5
Sultanpur,2024,1,3.8
Datala,2024,1,10.0
Waghul,2024,1,8.3
Dongaon,2024,1,4.2
Janephal,2024,1,7.0
Loni,2024,1,5.5
Mehkar,2024,1,10.6
Nagdhara Kh,2024,1,5.8
Naigaon Dattapur,2024,1,4.9
Naygaon,2024,1,3.6
Warwand,2024,1,8.7
Dhamangaon,2024,1,3.5
Dindola_Bk,2024,1,12.4
Motala,2024,1,8.3
Motala,2024,1,2.2
Motala,2024,1,1.9
Pimpalgaon Devi,2024,1,3.5
Rajur,2024,1,4.3
Rohankhed,2024,1,9.9
Thad,2024,1,2.7
Ubalkhed,2024,1,8.2
Dighi,2024,1,11.6
Nandura,2024,1,13.8
Tarvadi,2024,1,4.7
Changefal,2024,1,10.9
Paturda,2024,1,5.2
Rudhana,2024,1,13.5
Sangrampur,2024,1,17.7
Sonalanew,2024,1,20.2
Tunki,2024,1,8.3
Warwat Bakhal,2024,1,11.6
Jalamb,2024,1,3.8
Kalkheda,2024,1,20.8
Kolori,2024,1,4.9
Pahurjira,2024,1,4.1
Shegaon,2024,1,46.6
Shegaon,2024,1,3.3
Dusarbid,2024,1,7.6
Khairav,2024,1,6.6
Kingaon Raja,2024,1,2.4
Malkapur Pangra,2024,1,4.3
Malkapur Pangra,2024,1,3.8
Sendurjana,2024,1,5.6
Chora,2024,1,0.5
Mahurli,2024,1,1.8
Musad Visapur,2024,1,4.8
Shergaon Khurd,2024,1,3.8
Brahmapuri,2024,1,2.4
Mendki,2024,1,3.8
Nilaj,2024,1,4.5
Tumdi Menda,2024,1,3.8
Agarjhari,2024,1,7.7
Ballarsha,2024,1,8.4
Chichpalli,2024,1,5.1
Kothari,2024,1,9.6
Nandegur,2024,1,6.3
Padmapur,2024,1,3.9
Tadali,2024,1,2.7
Chimur,2024,1,3.6
Jambhulghat,2024,1,2.9
Kawadsi,2024,1,7.4
Kolara,2024,1,3.1
Shankarpur,2024,1,3.8
Aksapur,2024,1,4.3
Bhimni,2024,1,4.6
Dabha,2024,1,3.2
Gondpimpri,2024,1,6.5
Navegaon,2024,1,3.8
Navegaon More,2024,1,2.9
Pombhurna,2024,1,5.5
Watarna,2024,1,2.9
Mul,2024,1,5.4
Rajoli Tukkum,2024,1,1.6
Saoli,2024,1,2.3
Sawali,2024,1,2.6
Wihar Khurd,2024,1,5.0
Balapur (Bk),2024,1,1.8
Mohadi Mokasa,2024,1,4.1
Nagbhid,2024,1,6.3
Nagbhid,2024,1,4.9
Awarpur,2024,1,3.4
Chandanvahi,2024,1,7.5
Gadchandur,2024,1,3.4
Jivati,2024,1,4.6
Kalmana,2024,1,4.1
Patan,2024,1,3.2
Rajura,2024,1,5.0
Sondo,2024,1,5.5
Wansadi,2024,1,3.8
Warur Road,2024,1,4.7
Wirur,2024,1,3.5
Alesur,2024,1,3.4
Ladbori,2024,1,3.2
Maregaon,2024,1,5.9
Meha Bk,2024,1,5.7
Niphandra,2024,1,2.3
Sakhri,2024,1,4.2
Tambegadi Mendha,2024,1,5.6
Barwha,2024,1,1.5
Chargaon,2024,1,3.1
Chargaon,2024,1,5.1
Madheri,2024,1,2.7
Ralegaon,2024,1,7.1
Rampur,2024,1,3.2
Salori,2024,1,3.1
Wahangaon,2024,1,7.4
Wandli,2024,1,12.6
Warora,2024,1,6.4
Ashrafpur,2024,1,11.4
Aurangabad,2024,1,4.3
Aurangabad,2024,1,5.5
Aurangabad,2024,1,1.6
Aurangabad,2024,1,5.7
City,2024,1,5.8
Chauka,2024,1,2.3
Gavarai,2024,1,9.1
Jalgaon,2024,1,12.1
Kadrabad,2024,1,12.1
Karmad,2024,1,7.0
Nipani,2024,1,12.6
Panchakki,2024,1,5.7
Patri,2024,1,5.6
Shekta,2024,1,5.9
Shendra,2024,1,14.5
Bangla,2024,1,12.6
Gangapur,2024,1,3.0
Warkhed,2024,1,5.1
Warzadi,2024,1,4.5
Devgaon,2024,1,8.3
Pishore,2024,1,4.2
Hasta,2024,1,5.9
Hatnur,2024,1,6.9
Kinnal,2024,1,6.2
Nadarapur,2024,1,13.4
Khultabad,2024,1,10.0
Khultabad,2024,1,10.0
Tanda,2024,1,4.7
Dadhegaon,2024,1,8.1
Dawarwadi,2024,1,9.7
Pachud,2024,1,11.4
Paithan,2024,1,3.7
Taherpur,2024,1,7.0
Thanda,2024,1,8.0
Aalandh,2024,1,10.7
Ajanta,2024,1,2.1
Balapur,2024,1,0.8
Bharadi,2024,1,5.0
Budruk,2024,1,7.0
Kaigaon,2024,1,5.9
Sillod,2024,1,4.7
Sonappawadi,2024,1,12.9
Fardapur,2024,1,10.0
Tanda,2024,1,2.6
Soyegaon,2024,1,12.5
Garaj,2024,1,10.0
Rotegaon,2024,1,9.6
Shivoor,2024,1,7.8
Tunki,2024,1,9.7
Vaijapur,2024,1,7.9
Waghalgaon,2024,1,9.5
Bhoom,2024,1,3.9
It,2024,1,7.4
Wakwad,2024,1,3.6
Washi,2024,1,10.5
Govindpur,2024,1,5.8
Itkur,2024,1,1.4
Kalamb,2024,1,7.2
Massa (Khurd),2024,1,7.1
Shiradhon,2024,1,6.0
Babhalsur,2024,1,13.1
Chakur,2024,1,6.5
Dalimba,2024,1,9.9
Lohara Buzurg,2024,1,3.6
Makni,2024,1,8.0
Pethsangavi,2024,1,12.3
Turori,2024,1,3.0
Umerga,2024,1,5.2
Chilvadi,2024,1,6.3
Dhoki,2024,1,10.1
Dhorala,2024,1,14.7
